name,office,presbytery,evidence_date,archive_page,evidence_type,confidence,notes
Brian Ferry,TE,Ohio Valley,2014-02-04,9,explicit_addition,confirmed,"Listed under Additions; running total 143 elders in 53 presbyteries"
Michael Craddock,TE,Ohio Valley,2014-02-04,9,explicit_addition,confirmed,"Listed under Additions"
Ben Lyon,TE,Tidewater,2014-02-18,13,explicit_addition,confirmed,"Listed under Additions; running total 144 elders in 54 presbyteries"
Iron Kim,TE,South Coast,2014-03-26,21,explicit_addition,confirmed,"Listed under Additions; running total 149 elders in 54 presbyteries"
Jonathan Winfree,TE,Southwest Florida,2014-03-26,21,explicit_addition,confirmed,"Listed under Additions"
Drew Bennett,TE,Southwest Florida,2014-03-26,21,explicit_addition,confirmed,"Listed under Additions"
Nate Walker,TE,Pacific Northwest,2014-03-26,21,explicit_addition,confirmed,"Listed under Additions"
Wes Neel,TE,Chicago Metro,2014-04-09,24,explicit_addition,confirmed,"Listed under Additions; running total 154 elders in 54 presbyteries"
Don Aldin,TE,Georgia Foothills,2014-04-09,24,explicit_addition,confirmed,"Listed under Additions"
Blake Altman,TE,North Texas,2014-04-09,24,explicit_addition,confirmed,"Listed under Additions"
Tim Weldon,TE,Gulfstream,2014-04-09,24,explicit_addition,confirmed,"Listed under Additions"
Joel Kavanaugh,TE,Westminster,2014-04-09,24,explicit_addition,confirmed,"Listed under Additions"
Will Tabor,TE,SE Louisiana,2014-06-02,36,explicit_addition,confirmed,"Listed under Additions; running total shown as 154, indicating concurrent removals or roster corrections"
Grant Lowe,TE,Tennessee Valley,2014-06-02,36,explicit_addition,confirmed,"Listed under Additions"
Irwyn Ince,TE,Chesapeake,2014-12-30,63,explicit_addition,confirmed,"Listed under Additions; running total 160 elders in 58 presbyteries"
Bryce Hales,TE,Northern California,2014-12-30,63,explicit_addition,confirmed,"Listed under Additions"
